term,estimate,std.error,statistic,p.value,IRR,IRR_low,IRR_high
(Intercept),-9.147160926876278,3.530509218488793e-14,-259088997104832.66,0,1.0652179702271197e-4,1.0652179702270458e-4,1.0652179702271934e-4
ZIP92201,1.2223047374609706,3.590087353501713e-14,34046657284501.844,0,3.395003315050425,3.395003315050186,3.3950033150506638
ZIP92203,1.034003865044506,3.615990766904023e-14,28595312645939.37,0,2.8123034061293137,2.812303406129115,2.812303406129513
ZIP92211,1.4947248172190062,3.5934374059826567e-14,41595960868289.03,0,4.458109589041224,4.458109589040911,4.4581095890415385
ZIP92220,1.5632251198111624,3.557681478958923e-14,43939434405707.555,0,4.774193789637575,4.774193789637243,4.774193789637908
ZIP92223,0.2967229235978953,3.5621457640343155e-14,8329892802080.091,0,1.3454424574422752,1.3454424574421813,1.3454424574423691
ZIP92234,1.3317809291052563,3.6304290982009287e-14,36683843509441.484,0,3.7877831575308005,3.7877831575305314,3.7877831575310696
ZIP92236,1.1889570530023517,3.592254732273878e-14,33097793492215.63,0,3.283654743027799,3.283654743027568,3.28365474302803
ZIP92240,2.083183645349913,3.597350231712328e-14,57908835981152.82,0,8.029992912654807,8.02999291265424,8.029992912655374
ZIP92241,2.0307667827828086,3.547091558608704e-14,57251603157922.086,0,7.619926948052186,7.6199269480516545,7.619926948052717
ZIP92253,0.9923472311469752,3.568127595468157e-14,27811427831430.28,0,2.697558841200678,2.697558841200489,2.6975588412008666
ZIP92254,0.9604181397627628,3.5429008669065014e-14,27108241970127.6,0,2.6127887559143796,2.6127887559141985,2.612788755914561
ZIP92260,1.2983897836331795,3.57739976429325e-14,36294232380531.53,0,3.663393060388388,3.663393060388131,3.663393060388645
ZIP92262,1.6869007971366567,3.5637398950884935e-14,47335126771219.32,0,5.402710635359281,5.402710635358903,5.402710635359659
ZIP92264,1.1771610033969002,3.56863039975968e-14,32986352508687.168,0,3.245148148148244,3.245148148148017,3.245148148148471
ZIP92270,1.4638147981231182,3.555626820039684e-14,41168966042020.7,0,4.322417266187191,4.32241726618689,4.322417266187492
ZIP92276,2.1490427506709913,3.568630399641401e-14,60220378969112.1,0,8.576644479248493,8.576644479247891,8.576644479249094
ZIP92320,1.2573271754819793,3.546185120111481e-14,35455768181737.02,0,3.5160112359551685,3.516011235954924,3.5160112359554128
ZIP92501,1.7097280748274664,3.5934374060243824e-14,47579180646394.86,0,5.5274582182165695,5.52745821821618,5.5274582182169585
ZIP92503,0.7550548813018965,3.554070667497747e-14,21244790887444.418,0,2.127728292649826,2.1277282926496777,2.127728292649974
ZIP92504,-0.19569782480005443,3.5817962845509114e-14,-5463678256749.076,0,0.8222606639222461,0.8222606639221883,0.8222606639223038
ZIP92505,0.2138359100718653,3.5988187237672006e-14,5941836099152.681,0,1.2384194259653991,1.2384194259653118,1.2384194259654864
ZIP92506,0.8460679674667534,3.568127595448973e-14,23711819289923.508,0,2.330465347205052,2.330465347204889,2.330465347205215
ZIP92507,1.1580848563360875,3.577059104074567e-14,32375334671348.67,0,3.1838299418605627,3.1838299418603393,3.183829941860786
ZIP92508,-0.2668547132187122,3.5429008669294995e-14,-7532096528853.353,0,0.7657843217228462,0.765784321722793,0.7657843217228993
ZIP92532,0.5431297068276988,3.556156477708998e-14,15272941734487.516,0,1.7213858735514702,1.72138587355135,1.7213858735515901
ZIP92536,1.9213156192712064,2.3097602356755796e-13,8318247018003.766,0,6.82993815933247,6.829938159329378,6.829938159335563
ZIP92539,2.0909856427758737,3.562145763904157e-14,58700170665787.88,0,8.092887931034818,8.092887931034253,8.092887931035383
ZIP92543,2.0799413791255894,3.582149263594104e-14,58064062273013.9,0,8.003999699082442,8.00399969908188,8.003999699083003
ZIP92544,1.552160465294645,3.590916493728429e-14,43224632708822.625,0,4.721660153983189,4.721660153982857,4.721660153983522
ZIP92545,1.460277382818383,3.611657046030688e-14,40432337960307.414,0,4.307154093203246,4.307154093202941,4.307154093203551
ZIP92548,0.37765380689280714,4.675550169711221e-11,8077205744.455361,0,1.458857808926071,1.4588578087923803,1.4588578090597621
ZIP92549,1.5915173737400423,2.344876185614672e-13,6787212832403.137,0,4.911195396286952,4.911195396284695,4.91119539628921
ZIP92551,0.95320790331253,3.5817962845003827e-14,26612566086948.492,0,2.594017684443294,2.594017684443112,2.5940176844434757
ZIP92553,-0.6673451274370417,3.546185120154798e-14,-18818677108653.332,0,0.5130689037970352,0.5130689037969995,0.5130689037970708
ZIP92555,0.7187770914820332,3.581796284537599e-14,20067503408414.125,0,2.0519223623527942,2.0519223623526504,2.051922362352938
ZIP92557,0.415770752270734,3.542900866889924e-14,11735319950843.314,0,1.5155383953075883,1.515538395307483,1.5155383953076935
ZIP92562,0.6281847106094082,3.576850072204042e-14,17562511649316.156,0,1.8742052644511884,1.8742052644510572,1.8742052644513196
ZIP92563,0.5235506353270843,3.5963798570892714e-14,14557712369983.627,0,1.688010531723657,1.6880105317235379,1.688010531723776
ZIP92567,-0.13055768038309745,4.675550169711221e-11,-2792349042.233915,0,0.8776058708459624,0.877605870765538,0.877605870926387
ZIP92570,1.2815194025608347,3.555387874147231e-14,36044433066763.8,0,3.6021086228548644,3.602108622854613,3.6021086228551153
ZIP92571,0.7815716610207198,3.545888597757533e-14,22041630453787.977,0,2.1849034960850537,2.184903496084902,2.1849034960852056
ZIP92582,-0.8843679754939784,4.675550169711219e-11,-18914736092.94199,0,0.41297510119827835,0.412975101160433,0.41297510123612374
ZIP92583,1.494941735721293,3.5948774669031123e-14,41585332170143.31,0,4.459076740389029,4.459076740388714,4.459076740389342
ZIP92584,0.26617567836243267,3.5461851201257996e-14,7505972456197.949,0,1.304964292540571,1.3049642925404803,1.3049642925406617
ZIP92585,0.6467748537764163,3.577399764371788e-14,18079468227672.168,0,1.9093728813559894,1.9093728813558553,1.9093728813561233
ZIP92586,1.759503256781654,3.57739976440128e-14,49183859022144.48,0,5.809550822546711,5.809550822546304,5.809550822547119
ZIP92587,0.021180903518399533,2.3185380486255386e-13,91354565136.23257,0,1.0214068110110435,1.0214068110105794,1.0214068110115078
ZIP92591,-0.39183550052110677,3.542900867019224e-14,-11059736504870.732,0,0.6758152760780631,0.6758152760780162,0.6758152760781101
ZIP92592,0.41073335346306666,3.552677957832034e-14,11561232353120.75,0,1.5079232204416473,1.5079232204415423,1.507923220441752
ZIP92595,0.8955259841577915,3.562145763873607e-14,25140071280630.695,0,2.4486233879148727,2.4486233879147017,2.4486233879150436
ZIP92596,-0.265439785497686,3.5621457638315044e-14,-7451682303201.833,0,0.7668686181075867,0.7668686181075332,0.7668686181076403
ZIP92860,0.9557770239129967,3.547091558559975e-14,26945372233385.953,0,2.6006905968023624,2.6006905968021816,2.600690596802543
ZIP92879,-0.03798470646535137,3.556156477771651e-14,-1068139343776.9432,0,0.9627276642875038,0.9627276642874367,0.962727664287571
ZIP92881,0.6304345110494801,3.577399764413695e-14,17622702313583.98,0,1.8784265990796287,1.8784265990794968,1.8784265990797606
ZIP92882,0.19695951940738335,3.5621457639157e-14,5529238062141.37,0,1.217694746703217,1.2176947467031323,1.2176947467033021
ZIP92883,-0.3273625672629187,3.5621457638907585e-14,-9190038503796.557,0,0.7208223490568743,0.7208223490568239,0.7208223490569245
