term,estimate,std.error,statistic,p.value,IRR,IRR_low,IRR_high
(Intercept),-9.029447793705922,1.5543122797864329e-15,-5809288076233043,0,1.1982864503759599e-4,1.1982864503759557e-4,1.1982864503759641e-4
ZIP91752,0.5754340473896092,1.4074895909713332e-14,40883716020414.2,0,1.7779020532076144,1.7779020532075653,1.7779020532076633
ZIP92201,0.005979315622509329,2.1981294682963056e-15,2720183550946.0186,0,1.0059972274124522,1.005997227412448,1.0059972274124567
ZIP92210,-24.755739045934842,0.9999999999999997,-24.75573904593485,2.689098150297454e-135,1.7730424636946555e-11,2.4974796166198822e-12,1.2587408350179476e-10
ZIP92211,-0.4947904928529363,2.2779872009684134e-15,-217205124173916.3,0,0.6096986301369868,0.6096986301369841,0.6096986301369894
ZIP92220,0.9148837355786399,1.7090223947225985e-15,535325773614066.7,0,2.4964849826492794,2.4964849826492714,2.496484982649288
ZIP92223,-0.07230463785336494,3.7619416600190504e-15,-19220031671889.027,0,0.9302474640508296,0.9302474640508227,0.9302474640508364
ZIP92230,-23.925208045404524,0.9999999999999997,-23.92520804540453,1.67442246038373e-126,4.068311211233604e-11,5.7305589302974896e-12,2.8882271891390913e-10
ZIP92234,0.3667699355477041,1.6632773436947338e-15,220510389886618.03,0,1.4430658827598173,1.4430658827598126,1.443065882759822
ZIP92236,-0.2505119201503205,2.1981294478384274e-15,-113965954278382.55,0,0.7784022012871932,0.7784022012871897,0.7784022012871965
ZIP92239,-21.391131111704905,0.9999999999999998,-21.391131111704908,1.6159256073567655e-101,5.128021017751988e-10,7.223249430104744e-11,3.6405498402018783e-9
ZIP92240,2.073684096819793,3.143945345944256e-15,659580198967161.25,0,7.9540727797057444,7.954072779705695,7.954072779705794
ZIP92241,0.660290681117085,3.776390635262038e-15,174847028522849.94,0,1.935354823747678,1.9353548237476637,1.9353548237476925
ZIP92253,0.08617673761235134,2.93267046149371e-15,29385073687569.574,0,1.0899989550952167,1.0899989550952105,1.089998955095223
ZIP92254,-25.55849237506977,0.9999999999999996,-25.55849237506978,4.418061949997655e-144,7.944888300998147e-12,1.119104420472682e-12,5.6403360544922484e-11
ZIP92260,-0.20561771065706447,2.832942639434226e-15,-72580965034339.31,0,0.814144255471366,0.8141442554713616,0.8141442554713706
ZIP92262,1.0583620402003118,3.343801380209589e-15,316514625080384.94,0,2.8816470994475116,2.881647099447492,2.8816470994475307
ZIP92264,0.9052971903992885,2.7103998545453937e-15,334008721584413.94,0,2.4726666666666643,2.4726666666666515,2.4726666666666777
ZIP92270,-0.040192696167126146,2.2779871910207894e-15,-17643951785837.473,0,0.9606043165467644,0.96060431654676,0.9606043165467687
ZIP92276,-25.217165624548805,0.9999999999999998,-25.217165624548812,2.5968761306521285e-140,1.117697089486465e-11,1.5743704709311125e-12,7.934897198038062e-11
ZIP92282,-23.58234966498087,0.9999999999999994,-23.582349664980885,5.8490458833373386e-123,5.732125234033582e-11,8.07418108987648e-12,4.0694231814841797e-10
ZIP92320,-0.24668031880826483,1.5543122295541417e-15,-158707056483127.38,0,0.7813904494382033,0.781390449438201,0.7813904494382058
ZIP92501,1.9715045633620178,2.578071701961052e-15,764720609540208.25,0,7.181473345713124,7.181473345713088,7.181473345713162
ZIP92503,0.28066680419281065,2.1758151986408483e-15,128993861412556.03,0,1.324012375059497,1.3240123750594914,1.3240123750595028
ZIP92504,0.4750464023938628,2.2413592594285858e-15,211945675551795.12,0,1.608088814925112,1.608088814925105,1.6080888149251191
ZIP92505,-0.4634930110339112,3.67549223302034e-15,-126103656775526.72,0,0.629082411473154,0.6290824114731495,0.6290824114731586
ZIP92506,-0.5709281498338613,2.8329426364635375e-15,-201531842715520.4,0,0.5650007898715887,0.5650007898715856,0.565000789871592
ZIP92507,-0.21239124532963397,2.710399847122763e-15,-78361591392170,0,0.8086482558139536,0.8086482558139494,0.8086482558139579
ZIP92508,0.308579334170871,2.710399833951735e-15,113850115508960,0,1.361489517905213,1.3614895179052058,1.3614895179052202
ZIP92518,-23.392772937305732,0.9999999999999996,-23.392772937305743,5.062425860260301e-121,6.928636812011549e-11,9.759568404753726e-12,4.918865884415403e-10
