ZIP Code,Severity_Score,ZIP,Normalized_Severity
91752,1.4454344854040353,91752,1
92201,1.4454344854040353,92201,1
92203,1.4454344854040353,92203,1
92211,1.4454344854040353,92211,1
92220,1.4454344854040353,92220,1
92223,1.4454344854040353,92223,1
92234,1.4454344854040353,92234,1
92236,1.4454344854040353,92236,1
92240,1.4454344854040353,92240,1
92241,1.4454344854040353,92241,1
92253,1.4454344854040353,92253,1
92254,1.4454344854040353,92254,1
92260,1.4454344854040353,92260,1
92262,1.4454344854040353,92262,1
92264,1.4454344854040353,92264,1
92270,1.4454344854040353,92270,1
92276,1.4454344854040353,92276,1
92320,1.4454344854040353,92320,1
92501,1.4454344854040353,92501,1
92503,1.4454344854040353,92503,1
92504,1.4454344854040353,92504,1
92505,1.4454344854040353,92505,1
92506,1.4454344854040353,92506,1
92507,1.4454344854040353,92507,1
92508,1.4454344854040353,92508,1
92532,1.4454344854040353,92532,1
92536,1.4454344854040353,92536,1
92539,1.4454344854040353,92539,1
92543,1.4454344854040353,92543,1
92544,1.4454344854040353,92544,1
92545,1.4454344854040353,92545,1
92548,1.4454344854040353,92548,1
92549,1.4454344854040353,92549,1
92551,1.4454344854040353,92551,1
92553,1.4454344854040353,92553,1
92555,1.4454344854040353,92555,1
92557,1.4454344854040353,92557,1
92562,1.4454344854040353,92562,1
92563,1.4454344854040353,92563,1
92567,1.4454344854040353,92567,1
92570,1.4454344854040353,92570,1
92571,1.4454344854040353,92571,1
92582,1.4454344854040353,92582,1
92583,1.4454344854040353,92583,1
92584,1.4454344854040353,92584,1
92585,1.4454344854040353,92585,1
92586,1.4454344854040353,92586,1
92587,1.4454344854040353,92587,1
92591,1.4454344854040353,92591,1
92592,1.4454344854040353,92592,1
92595,1.4454344854040353,92595,1
92596,1.4454344854040353,92596,1
92860,1.4454344854040353,92860,1
92879,1.4454344854040353,92879,1
92881,1.4454344854040353,92881,1
92882,1.4454344854040353,92882,1
92883,1.4454344854040353,92883,1
92210,0.7227172427020176,92210,0
92230,0.7227172427020176,92230,0
92239,0.7227172427020176,92239,0
92282,0.7227172427020176,92282,0
92518,0.7227172427020176,92518,0
92561,0.7227172427020176,92561,0
92590,0.7227172427020176,92590,0
