geoid,name,population,value,percentile,numerator,denominator,se
93955,93955,34566,0.658015404441514,0.388127853881279,21956,33367,0.019649263749569
94014,94014,49170,0.802071229078752,0.689497716894977,39344,49053,0.0174765931340061
94043,94043,31161,0.864839683865579,0.866057838660578,26919,31126,0.014818776638962
94019,94019,20512,0.853105134474328,0.839421613394216,17446,20450,0.0263656301516429
94044,94044,38984,0.893288191662575,0.929223744292237,34564,38693,0.00962862344595769
94020,94020,1697,0.84194890077243,0.806697108066971,1417,1683,0.0461337861146441
94022,94022,19406,0.933084344849051,0.986301369863014,17988,19278,0.00936370784958695
94024,94024,23675,0.959911575904434,1,22580,23523,0.00601456270725578
94025,94025,43392,0.852639210458617,0.836377473363775,36458,42759,0.0117669064925663
94030,94030,22625,0.87921586099354,0.904109589041096,19734,22445,0.0128835438621604
94040,94040,36526,0.826521319166552,0.766362252663623,29949,36235,0.0196959439595373
94402,94402,25703,0.899654929025175,0.939117199391172,22943,25502,0.0133754279889368
94404,94404,36985,0.907947522498103,0.952815829528158,33496,36892,0.00929813209671476
94062,94062,28423,0.88299978785093,0.909436834094368,24973,28282,0.0137620259096529
94080,94080,67600,0.816543767840152,0.736681887366819,54924,67264,0.0121985744932271
94086,94086,50477,0.859496412885789,0.858447488584475,43249,50319,0.0117322372353473
94089,94089,22882,0.855243011505315,0.84779299847793,19550,22859,0.0130515642705859
94112,94112,84707,0.779735997996733,0.643074581430746,65391,83863,0.0118077684655112
94132,94132,31436,0.714095651565017,0.488584474885845,20396,28562,0.0172091927865973
94134,94134,42418,0.725309154779141,0.510654490106545,30558,42131,0.0141051903443936
94158,94158,8455,0.809018251222713,0.716133942161339,6782,8383,0.0499037511993219
94303,94303,48244,0.749745845349489,0.570015220700152,36137,48199,0.0177576597811975
94304,94304,3852,0.875239398084815,0.894216133942161,3199,3655,0.0364632404238422
94306,94306,27435,0.865676001314396,0.86986301369863,23710,27389,0.0138529720044333
94505,94505,16382,0.872646123746637,0.886605783866058,14273,16356,0.0189923315101425
94506,94506,25240,0.94319446652886,0.997716894977169,23727,25156,0.0103147027324518
