geoid,name,population,value,percentile,numerator,denominator,se
94601,94601,53039,-0.050586843034541,0.358720487433359,,,
94501,94501,63821,0.104554336994776,0.814927646610815,,,
94560,94560,47171,-0.0792450600626922,0.243716679360244,,,
94587,94587,74722,0.0230550226364512,0.608530083777609,,,
94580,94580,30488,-0.0370227227340622,0.405940594059406,,,
94703,94703,21697,0.209153389287449,0.968773800456969,,,
95669,95669,2315,-0.148479442033477,0.0495049504950495,,,
95901,95901,33455,-0.140444972985927,0.063975628332064,,,
94549,94549,29795,0.223721108439474,0.98019801980198,,,
94595,94595,18117,0.131159837875608,0.858339680121858,,,
94506,94506,25240,0.124725929201151,0.849200304645849,,,
94806,94806,64286,-0.0967963371292622,0.182025894897182,,,
94801,94801,31210,-0.0791033256808545,0.244478293983244,,,
94803,94803,25893,0.0670380958988577,0.741051028179741,,,
94553,94553,49784,0.0378431042789167,0.656511805026657,,,
94530,94530,26145,0.112047825722164,0.827875095201828,,,
94572,94572,10384,-0.00361342435982866,0.532368621477532,,,
95567,95567,1802,0.105727425674066,0.817212490479817,,,
93612,93612,35140,-0.0566143567745225,0.332063975628332,,,
93630,93630,20764,-0.0945498964716276,0.188118811881188,,,
93646,93646,11738,-0.137042641405324,0.0731150038080731,,,
93703,93703,32754,-0.131415575144469,0.0822543792840823,,,
93234,93234,7355,-0.194360721009876,0.0198019801980198,,,
93616,93616,2582,-0.113544879315326,0.13023610053313,,,
95503,95503,25972,0.0300322526192889,0.630616907844631,,,
95560,95560,1615,-0.118326185753715,0.112718964204113,,,
95524,95524,1668,0.140799954153871,0.878141660319878,,,
92243,92243,50402,-0.0744201641307318,0.265041888804265,,,
93527,93527,1559,-0.104778688957427,0.153084539223153,,,
93305,93305,37902,-0.111841330499408,0.134044173648134,,,
93308,93308,53981,-0.102667218825435,0.157654226961158,,,
93311,93311,45481,0.0130912854667144,0.577303884234577,,,
93245,93245,38480,-0.0724760597482826,0.271896420411272,,,
93202,93202,4273,-0.108452110779002,0.146991622239147,,,
95485,95485,2650,-0.109961705974147,0.140898705255141,,,
96130,96130,20119,-0.0181735512855783,0.480578827113481,,,
91504,91504,26749,0.0275314805697338,0.618431073876618,,,
91606,91606,44295,-0.0239400127826859,0.454683929931455,,,
90640,90640,62730,-0.066481347619818,0.297029702970297,,,
91770,91770,62703,-0.0129541203233491,0.492003046458492,,,
93535,93535,74264,-0.128461722950685,0.0868240670220868,,,
90290,90290,5681,0.18534691171609,0.946686976389947,,,
91792,91792,29619,-0.00623552621304663,0.521706016755522,,,
91789,91789,44440,0.100903280660591,0.81035795887281,,,
91791,91791,33397,0.0294776122271594,0.629093678598629,,,
91723,91723,18521,-0.00352978205778994,0.533130236100533,,,
91773,91773,34007,0.0300172472743183,0.62985529322163,,,
91702,91702,62066,-0.0292923062582765,0.438690022848439,,,
91741,91741,26794,0.100100727586065,0.808834729626809,,,
91765,91765,46593,0.121961863378534,0.84006092916984,,,
90303,90303,24374,-0.15097573688543,0.0449352627570449,,,
90033,90033,49155,-0.0665373871732598,0.295506473724296,,,
90032,90032,48031,-0.0362159002054005,0.40974866717441,,,
90249,90249,26429,-0.0246803164172465,0.451637471439452,,,
91355,91355,30526,0.0642157954308195,0.72962680883473,,,
91350,91350,36173,0.03400478591348,0.642802741812643,,,
91387,91387,42034,-0.0279401099210317,0.442498095963442,,,
91001,91001,37818,0.0621904124203818,0.722772277227723,,,
91604,91604,32910,0.189963640818374,0.952018278750952,,,
91402,91402,72059,-0.083632844912567,0.232292460015232,,,
91030,91030,25637,0.18141076272681,0.940594059405941,,,
91108,91108,13375,0.236779488343697,0.989337395277989,,,
90062,90062,35916,-0.0611114810114429,0.319116527037319,,,
90293,90293,12728,0.228178539288068,0.984006092916984,,,
90292,90292,23549,0.157633935191861,0.905559786747906,,,
90003,90003,73730,-0.126885845866347,0.0898705255140899,,,
90056,90056,7649,0.0101942569794781,0.568926123381569,,,
90732,90732,22780,0.0209623293873484,0.6001523229246,,,
90716,90716,14285,-0.100180197767344,0.166031987814166,,,
90805,90805,95995,-0.165102725975179,0.0327494287890328,,,
90402,90402,11882,0.193829419963539,0.955826351865956,,,
90010,90010,3822,0.0825494396327884,0.772277227722772,,,
91040,91040,20049,-0.00847286552034078,0.511805026656512,,,
90403,90403,23902,0.183939487543558,0.942117288651942,,,
93550,93550,77506,-0.119422789128914,0.10967250571211,,,
92397,92397,4562,0.0225273733352562,0.605483625285606,,,
91732,91732,62905,-0.116665746779386,0.118050266565118,,,
91731,91731,30222,-0.0806449875522425,0.238385376999238,,,
94949,94949,18695,0.0907131081148626,0.792840822543793,,,
94939,94939,6747,0.233686440641911,0.987052551408987,,,
95428,95428,2580,-0.0962095995078835,0.183549124143184,,,
95425,95425,10984,-0.0452292638439407,0.376237623762376,,,
95449,95449,1560,0.0246584223582056,0.611576542269612,,,
95301,95301,39186,-0.0511399842946163,0.355674028941356,,,
96134,96134,2059,-0.0444256522507763,0.378522467631379,,,
93907,93907,23299,-0.0564216036655444,0.333587204874334,,,
93953,93953,4028,-0.00911395471430181,0.50952018278751,,,
94599,94599,3108,0.0658674043230765,0.735719725818736,,,
96161,96161,18488,0.116910838281364,0.833968012185834,,,
92840,92840,54735,-0.078269208645883,0.248286367098248,,,
92841,92841,33754,-0.0398153786955869,0.397562833206398,,,
92647,92647,62199,0.0355403098079877,0.646610814927647,,,
92673,92673,30768,0.102603183134104,0.813404417364813,,,
92865,92865,20664,0.0419379833756186,0.667174409748667,,,
92866,92866,15574,0.0040884598329455,0.554455445544555,,,
92624,92624,6372,0.0415379894032642,0.664889565879665,,,
96020,96020,2369,0.0757168026026117,0.76009139375476,,,
95947,95947,1657,-0.0323678246327293,0.425742574257426,,,
96118,96118,1779,-0.0475770538746043,0.366336633663366,,,
92234,92234,54357,-0.115189064833847,0.121858339680122,,,
92240,92240,35278,-0.113923819034486,0.128712871287129,,,
