geoid,name,population,value,percentile,numerator,denominator,se
93955,93955,34566,0.403400166312483,0.175038051750381,4366,10823,0.0160352087511674
94014,94014,49170,0.580746226146397,0.449771689497717,8156,14044,0.0144591844439073
94043,94043,31161,0.457918135827073,0.235159817351598,5974,13046,0.0143337678184082
94019,94019,20512,0.741411701556629,0.802130898021309,5525,7452,0.0181553038463611
94044,94044,38984,0.707054545454545,0.727549467275495,9722,13750,0.0146988597684106
94020,94020,1697,0.780635400907716,0.884322678843227,516,661,0.0720794598494437
94022,94022,19406,0.784782004998612,0.892694063926941,5652,7202,0.0147431634444549
94024,94024,23675,0.887268074216251,0.983257229832572,6934,7815,0.010708957347631
94025,94025,43392,0.610353501919767,0.510654490106545,9220,15106,0.00867235115260299
94030,94030,22625,0.63691073219659,0.561643835616438,5080,7976,0.0136496410212138
94040,94040,36526,0.407427747648795,0.181126331811263,5935,14567,0.0125960676308696
94402,94402,25703,0.67952211276462,0.671993911719939,6484,9542,0.010553300596859
94404,94404,36985,0.568230946238059,0.423135464231355,8149,14341,0.0107098351876453
94062,94062,28423,0.745142296368989,0.812785388127854,7593,10190,0.0100797003768381
94080,94080,67600,0.611650032646208,0.515220700152207,13115,21442,0.0127694590614791
94086,94086,50477,0.316499693314251,0.0882800608828006,6192,19564,0.0106327655862801
94089,94089,22882,0.572348438828818,0.43455098934551,4711,8231,0.0170310390522944
94112,94112,84707,0.664018791373051,0.63013698630137,15548,23415,0.0129470210120705
94132,94132,31436,0.432906728718247,0.208523592085236,4465,10314,0.0133962531040264
94134,94134,42418,0.603598422609267,0.49923896499239,7347,12172,0.014037061979983
94158,94158,8455,0.294776955839498,0.073820395738204,1315,4461,0.0436614825552282
94303,94303,48244,0.528581411600279,0.340182648401826,7564,14310,0.0158032138862554
94304,94304,3852,0.151679306608884,0.0289193302891933,280,1846,0.0209168511247388
94306,94306,27435,0.549157303370786,0.387366818873668,5865,10680,0.0165983500317383
94505,94505,16382,0.828354155350353,0.942161339421613,4575,5523,0.0202464223333474
94506,94506,25240,0.891989851395433,0.985540334855403,7383,8277,0.0131330639308133
94507,94507,15105,0.929021179164282,0.998477929984779,4869,5241,0.0113257464460909
94509,94509,68166,0.534150531643219,0.354642313546423,11504,21537,0.0125033675901811
94510,94510,28350,0.718670076726343,0.748858447488584,8149,11339,0.0135385432927745
94511,94511,2161,0.828918322295806,0.942922374429224,751,906,0.042934757387631
94513,94513,64313,0.775398743354277,0.875951293759513,16043,20690,0.0111123575992931
94515,94515,7491,0.650449850049983,0.598934550989346,1952,3001,0.0403077629062381
94517,94517,13687,0.926620804669585,0.996955859969559,4445,4797,0.0159194953326516
94520,94520,38753,0.350574292194016,0.113394216133942,4792,13669,0.0160960962792631
94521,94521,43281,0.723386894300778,0.764079147640791,11525,15932,0.0119927341286681
94525,94525,3290,0.547635366689513,0.385083713850837,799,1459,0.0430791122853192
94533,94533,75909,0.541517597137865,0.376712328767123,13017,24038,0.0104226824524674
94534,94534,39239,0.757730778040773,0.844748858447489,9924,13097,0.0156190423150998
94536,94536,74837,0.564489648820726,0.410197869101979,14097,24973,0.0128224025382402
94539,94539,54982,0.821483771251932,0.9337899543379,13819,16822,0.00935880673319697
94542,94542,14699,0.679644808743169,0.67351598173516,2985,4392,0.0300588975418377
94544,94544,79747,0.481457242582897,0.269406392694064,11035,22920,0.0106744985848163
94546,94546,44378,0.656053290961315,0.610350076103501,10735,16363,0.0137012412153465
94547,94547,25616,0.816353249226375,0.926179604261796,6859,8402,0.0185940883192659
94549,94549,29795,0.737191301142647,0.794520547945205,8000,10852,0.0145599179634048
94550,94550,50374,0.748192305569355,0.821917808219178,13555,18117,0.009439364800963
94551,94551,47227,0.726419814861146,0.768645357686454,11614,15988,0.0130747316813432
94552,94552,14938,0.905927574347562,0.991628614916286,4478,4943,0.0156652397929236
94553,94553,49784,0.682242497758557,0.682648401826484,12936,18961,0.013083775620901
91750,91750,34129,0.747811725846408,0.820395738203957,9056,12110,0.0136897839071613
94555,94555,38478,0.679534366173072,0.672754946727549,7939,11683,0.0177063544757818
94559,94559,27593,0.487561214495593,0.276255707762557,4978,10210,0.0150989227374129
94561,94561,42473,0.757095980311731,0.842465753424658,9229,12190,0.0183938226972596
94563,94563,19644,0.900795311845961,0.988584474885845,6456,7167,0.0143646827838503
94564,94564,19260,0.666715998224064,0.638508371385084,4505,6757,0.0204354669546187
95377,95377,32091,0.707942605355327,0.730593607305936,6266,8851,0.0192062352108269
94565,94565,97671,0.547201071630006,0.384322678843227,15523,28368,0.00901928208523064
94571,94571,10605,0.768182690462483,0.864535768645358,4003,5211,0.0119556393360312
92037,92037,38168,0.601224048961958,0.492389649923896,10020,16666,0.00886070936144075
94574,94574,8757,0.636459430979979,0.559360730593607,2416,3796,0.02354612960096
94582,94582,42576,0.717440866343688,0.747336377473364,10070,14036,0.0137719828775078
94583,94583,35231,0.731233465608466,0.78158295281583,8845,12096,0.0100559500023785
94585,94585,29525,0.618817204301075,0.525114155251142,5755,9300,0.0193722027706301
94588,94588,37253,0.676335174953959,0.662861491628615,8814,13032,0.0126572420652382
94589,94589,31536,0.61134389371487,0.513698630136986,5982,9785,0.0192038756424298
94591,94591,55157,0.654739451419949,0.60806697108067,12150,18557,0.0143556809493195
94607,94607,26823,0.307485003912023,0.0814307458143075,3537,11503,0.0139661669464343
94608,94608,31013,0.359827394209354,0.122526636225266,5170,14368,0.0152472493369451
94611,94611,38975,0.602769890479226,0.497716894977169,10402,17257,0.00850061572171899
94618,94618,17252,0.647009502515372,0.588280060882801,4630,7156,0.0154702756794282
94702,94702,16860,0.465795439391919,0.244292237442922,3493,7499,0.015884747985119
94708,94708,11394,0.851968835544325,0.961187214611872,4046,4749,0.0149198771968639
94804,94804,40931,0.454210672595887,0.227549467275495,6537,14392,0.0204685592030317
94806,94806,64286,0.460963746678032,0.241248097412481,9193,19943,0.0121034731251814
94903,94903,30427,0.697116942014901,0.713850837138508,8608,12348,0.0139955526842512
94904,94904,12994,0.649000377216145,0.596651445966514,3441,5302,0.0151666722671563
94925,94925,9838,0.664376590330789,0.63089802130898,2611,3930,0.0344783689094307
94928,94928,44323,0.548648813517965,0.386605783866058,8994,16393,0.0120314819895238
94930,94930,8728,0.648433351035582,0.594368340943683,2442,3766,0.0272357961131407
94931,94931,8926,0.6077229543365,0.505327245053272,1983,3263,0.0294413206291966
94941,94941,32009,0.684349134687735,0.687214611872146,9095,13290,0.012309573326306
94945,94945,19043,0.684864864864865,0.689497716894977,5068,7400,0.0189439445848174
94949,94949,18695,0.628567635736095,0.544901065449011,4735,7533,0.0242344861317098
