geoid,name,population,value,percentile,numerator,denominator,se
93955,93955,34566,0.841272931,0.153729072,17289,20551,0.011170962
94014,94014,49170,0.937861541,0.702435312,30156,32154,0.003635587
94043,94043,31161,0.951414743,0.802891933,20444,21488,0.006647137
94019,94019,20512,0.945995045,0.766362253,11456,12110,0.013253674
94044,94044,38984,0.956168301,0.839421613,23407,24480,0.005828264
94020,94020,1697,0.998168498,0.997716895,1090,1092,0.017845262
94022,94022,19406,0.982924869,0.979452055,9786,9956,0.001487617
94024,94024,23675,0.988334516,0.990106545,12539,12687,0.005162851
94025,94025,43392,0.966508848,0.905631659,24905,25768,0.022429642
94030,94030,22625,0.969488045,0.917047184,13218,13634,0.005696
94040,94040,36526,0.928711385,0.640030441,22277,23987,0.010341432
94402,94402,25703,0.979223365,0.96803653,14752,15065,0.041021284
94404,94404,36985,0.977543579,0.962709285,21983,22488,0.003131315
94062,94062,28423,0.973900692,0.943683409,16456,16897,0.00613333
94080,94080,67600,0.936145217,0.693302892,40639,43411,0.004222155
94086,94086,50477,0.953285963,0.818112633,33406,35043,0.005796449
94089,94089,22882,0.964265421,0.887366819,15273,15839,0.039776682
94112,94112,84707,0.942197993,0.739726027,52194,55396,0.026297723
94132,94132,31436,0.928609303,0.639269406,19264,20745,0.042465377
94134,94134,42418,0.929397086,0.649923896,25327,27251,0.005028755
94158,94158,8455,0.963754929,0.885844749,6355,6594,0.024407977
94303,94303,48244,0.900801091,0.437595129,26425,29335,0.008584487
94304,94304,3852,0.993725869,0.996194825,2059,2072,0.099472589
94306,94306,27435,0.966316323,0.903348554,15262,15794,0.003746966
94505,94505,16382,0.974282481,0.946727549,9471,9721,0.047174016
94506,94506,25240,0.989561736,0.99391172,13841,13987,0.043563151
94507,94507,15105,0.972150924,0.929984779,7575,7792,0.008913125
94509,94509,68166,0.888298256,0.346270928,36931,41575,0.00632434
94510,94510,28350,0.971085062,0.924657534,16154,16635,0.001446427
94511,94511,2161,0.80408472,0.073059361,1063,1322,0.047677924
94513,94513,64313,0.965106732,0.894977169,35265,36540,0.008466897
94515,94515,7491,0.897822057,0.414003044,3875,4316,0.022200528
94517,94517,13687,0.984154494,0.984018265,7950,8078,0.002444762
94520,94520,38753,0.82434411,0.114916286,20832,25271,0.013791338
