geoid,name,population,value,percentile,numerator,denominator,se
94601,94601,53039,0.176467294644416,0.0761614623000761,,,
94501,94501,63821,0.0811525097068075,0.830921553693831,,,
94560,94560,47171,0.0658924860204888,0.928408225437928,,,
94587,94587,74722,0.0887886521281099,0.75019040365575,,,
94580,94580,30488,0.0983932140455499,0.651180502665651,,,
94703,94703,21697,0.101653406027993,0.617669459253618,,,
95669,95669,2315,0.120879120879121,0.389185072353389,,,
95901,95901,33455,0.0588869726715537,0.95963442498096,,,
94549,94549,29795,0.0744996479577222,0.875856816450876,,,
94595,94595,18117,0.124222766007986,0.354150799695354,,,
94506,94506,25240,0.0663167244971445,0.927646610814928,,,
94806,94806,64286,0.127774248897345,0.324447829398324,,,
94801,94801,31210,0.161397030304204,0.125666412795126,,,
94803,94803,25893,0.0799856021535222,0.843107387661843,,,
94553,94553,49784,0.0945155001422071,0.693069306930693,,,
94530,94530,26145,0.134157373138039,0.26961157654227,,,
94572,94572,10384,0.0471390034307798,0.979436405178979,,,
95567,95567,1802,0.116591928251121,0.433358720487433,,,
93612,93612,35140,0.123493813342921,0.361766945925362,,,
93630,93630,20764,0.103110951607461,0.593297791317593,,,
93646,93646,11738,0.0996648506628354,0.638994668697639,,,
93703,93703,32754,0.101087693442601,0.623762376237624,,,
93234,93234,7355,0.111471622144793,0.484386900228484,,,
93616,93616,2582,0.0936874074074074,0.702208682406702,,,
95503,95503,25972,0.138030855414329,0.240670220868241,,,
95560,95560,1615,0.0285714285714286,0.993145468392993,,,
95524,95524,1668,0.0897956026260374,0.74028941355674,,,
92243,92243,50402,0.101951995080153,0.613099771515613,,,
93527,93527,1559,0.0767973358115308,0.862909367859863,,,
93305,93305,37902,0.119903129827446,0.401370906321401,,,
93308,93308,53981,0.083744994607828,0.808834729626809,,,
93311,93311,45481,0.0445142831814047,0.984006092916984,,,
93245,93245,38480,0.0945346097006328,0.692307692307692,,,
93202,93202,4273,0.0480874316939891,0.978674790555979,,,
95485,95485,2650,0.0688343181102363,0.91012947448591,,,
96130,96130,20119,0.0804200848569287,0.837776085300838,,,
91504,91504,26749,0.152408754000589,0.163747143945164,,,
91606,91606,44295,0.149514001627747,0.177456207159177,,,
90640,90640,62730,0.145369665567752,0.198781416603199,,,
91770,91770,62703,0.15795908686603,0.136329017517136,,,
93535,93535,74264,0.13669583051243,0.24980959634425,,,
90290,90290,5681,0.146656434186459,0.18964204112719,,,
91792,91792,29619,0.120117290597971,0.398324447829398,,,
91789,91789,44440,0.146013857718487,0.194973343488195,,,
91791,91791,33397,0.14016868012555,0.232292460015232,,,
91723,91723,18521,0.138457900659244,0.239146991622239,,,
91773,91773,34007,0.09914062255695,0.645849200304646,,,
91702,91702,62066,0.130623631584186,0.301599390708302,,,
91741,91741,26794,0.102557091770565,0.602437166793602,,,
91765,91765,46593,0.108707280012308,0.518659558263519,,,
90303,90303,24374,0.203864264524222,0.0335110434120335,,,
90033,90033,49155,0.170235544252168,0.0936785986290937,,,
90032,90032,48031,0.15447010063205,0.153084539223153,,,
