geoid,name,population,value,percentile,numerator,denominator,se
94601,94601,53039,-0.0927140337738644,0.247524752475248,,,
94501,94501,63821,0.0973004256568644,0.783701447067784,,,
94560,94560,47171,0.0961906929932742,0.781416603198781,,,
94587,94587,74722,0.0905843486270884,0.76009139375476,,,
94580,94580,30488,0.0602611271898576,0.655750190403656,,,
94703,94703,21697,0.0564957373077098,0.645849200304646,,,
95669,95669,2315,0.00776498645240276,0.5003808073115,,,
95901,95901,33455,-0.0725627464187861,0.295506473724296,,,
94549,94549,29795,0.19278980211453,0.987052551408987,,,
94595,94595,18117,0.18727021740218,0.978674790555979,,,
94506,94506,25240,0.194267001729957,0.988575780654989,,,
94806,94806,64286,-0.0288989918682351,0.393754760091394,,,
94801,94801,31210,-0.135613877876529,0.161462300076161,,,
94803,94803,25893,0.0910288913527401,0.760853008377761,,,
94553,94553,49784,0.129593388019627,0.872048743335872,,,
94530,94530,26145,0.160444302997817,0.942117288651942,,,
94572,94572,10384,0.0449015021168967,0.615384615384615,,,
95567,95567,1802,-0.132719557410999,0.165270373191165,,,
93612,93612,35140,-0.0159855309147868,0.425742574257426,,,
93630,93630,20764,-0.0848792808478359,0.266565118050267,,,
93646,93646,11738,-0.212325970026649,0.0601675552170602,,,
93703,93703,32754,-0.183561199474869,0.0929169840060929,,,
93234,93234,7355,-0.31025000184981,0.0144706778370145,,,
93616,93616,2582,-0.14808622823818,0.127189642041127,,,
95503,95503,25972,0.0348264896494121,0.586443259710586,,,
95560,95560,1615,-0.231784089098951,0.0472201066260472,,,
95524,95524,1668,0.0750991870399666,0.701447067783701,,,
92243,92243,50402,-0.11378852089141,0.201066260472201,,,
93527,93527,1559,-0.0435927731887697,0.348057882711348,,,
93305,93305,37902,-0.294657949246699,0.019040365575019,,,
93308,93308,53981,-0.0750497583260984,0.286367098248286,,,
93311,93311,45481,0.0359125945535233,0.589489718202589,,,
93245,93245,38480,-0.0802776283842677,0.272658035034273,,,
93202,93202,4273,-0.114662916441825,0.1995430312262,,,
95485,95485,2650,-0.17662488062768,0.0967250571210967,,,
96130,96130,20119,-0.0597109214088963,0.316070068545316,,,
91504,91504,26749,0.0298925323448719,0.571210967250571,,,
91606,91606,44295,-0.105434254246078,0.220868240670221,,,
90640,90640,62730,-0.0384942706647647,0.364813404417365,,,
91770,91770,62703,-0.0405458564298957,0.357958872810358,,,
93535,93535,74264,-0.170447600944494,0.103579588728104,,,
90290,90290,5681,-0.0512286433609741,0.328255902513328,,,
91792,91792,29619,0.00476235792035516,0.49047981721249,,,
91789,91789,44440,0.0801204864646804,0.725818735719726,,,
91791,91791,33397,0.0248470285433242,0.553693830921554,,,
91723,91723,18521,-0.0292850180437975,0.392993145468393,,,
91773,91773,34007,0.0543355717195261,0.640517897943641,,,
91702,91702,62066,-0.0632199469319088,0.310738766184311,,,
91741,91741,26794,0.0953240187636539,0.776085300837776,,,
91765,91765,46593,0.079533354351244,0.722772277227723,,,
90303,90303,24374,-0.14714224534444,0.128712871287129,,,
90033,90033,49155,-0.231244773871506,0.047981721249048,,,
90032,90032,48031,-0.140637610903777,0.146230007616146,,,
90249,90249,26429,-0.010790032732385,0.446306169078446,,,
91355,91355,30526,0.0844818651941595,0.73952779893374,,,
91350,91350,36173,0.119793491360399,0.846153846153846,,,
91387,91387,42034,-0.00600031297534622,0.465346534653465,,,
91001,91001,37818,0.054843167697236,0.642802741812643,,,
91604,91604,32910,-0.0193050695093616,0.415079969535415,,,
91402,91402,72059,-0.130083429908302,0.170601675552171,,,
91030,91030,25637,0.131644229467547,0.881188118811881,,,
91108,91108,13375,0.0897126282051354,0.757044935262757,,,
90062,90062,35916,-0.206713096800708,0.063975628332064,,,
90293,90293,12728,-0.0155542329809161,0.427265803503427,,,
90292,90292,23549,-0.0958660055360044,0.242193450114242,,,
90003,90003,73730,-0.32305666332738,0.0114242193450114,,,
90056,90056,7649,0.0536906216928275,0.633663366336634,,,
90732,90732,22780,0.0311884852248337,0.574257425742574,,,
90716,90716,14285,-0.0900311706052103,0.256664127951257,,,
90805,90805,95995,-0.163925543134204,0.11043412033511,,,
90402,90402,11882,0.0158179753431977,0.522467631378522,,,
90010,90010,3822,-0.146389119660588,0.130997715156131,,,
91040,91040,20049,-0.0910929062564608,0.254379284082254,,,
90403,90403,23902,0.0070653085780223,0.498095963442498,,,
93550,93550,77506,-0.175349154010997,0.099009900990099,,,
92397,92397,4562,-0.0639124242971028,0.306930693069307,,,
91732,91732,62905,-0.101751333201504,0.229246001523229,,,
91731,91731,30222,-0.0772576638529097,0.283320639756283,,,
94949,94949,18695,0.139099608406677,0.891850723533892,,,
94939,94939,6747,0.172467068885517,0.962680883472963,,,
95428,95428,2580,-0.33199543911246,0.00456968773800457,,,
95425,95425,10984,0.0892028862516999,0.753236862147753,,,
95449,95449,1560,-0.128472292338999,0.174409748667174,,,
95301,95301,39186,0.00391382463350164,0.488194973343488,,,
96134,96134,2059,-0.136653143820796,0.157654226961158,,,
93907,93907,23299,-0.0172849161368867,0.42041127189642,,,
93953,93953,4028,-0.00132987134119781,0.476770753998477,,,
94599,94599,3108,0.0204657695971919,0.538461538461538,,,
96161,96161,18488,-0.136392872351356,0.159177456207159,,,
92840,92840,54735,0.0640520100985268,0.665651180502666,,,
92841,92841,33754,0.0668286333311617,0.682406702208682,,,
92647,92647,62199,0.101481522073716,0.795887281035796,,,
92673,92673,30768,0.187013639865235,0.977913175932978,,,
92865,92865,20664,0.118970807396414,0.842345773038842,,,
92866,92866,15574,0.0933179967152194,0.768469154607768,,,
92624,92624,6372,0.0984128814658133,0.787509520182788,,,
96020,96020,2369,-0.13754100430615,0.154607768469155,,,
95947,95947,1657,-0.146447455853889,0.13023610053313,,,
96118,96118,1779,-0.105541986188144,0.22010662604722,,,
92234,92234,54357,-0.0165430393213812,0.422696115765423,,,
92240,92240,35278,-0.123508340247905,0.182787509520183,,,
92544,92544,49923,-0.0411153302304921,0.356435643564356,,,
