geoid,name,population,value,percentile,numerator,denominator,se
94601,94601,53039,0.0105109320535521,0.741051028179741,,,
94501,94501,63821,0.0748454129133351,0.961157654226961,,,
94560,94560,47171,0.0283357925473735,0.875095201827875,,,
94587,94587,74722,0.0310861351884996,0.882711348057883,,,
94580,94580,30488,0.0359320544157357,0.896420411271896,,,
94703,94703,21697,0.134106068283174,0.990860624523991,,,
95669,95669,2315,-0.0190361401859741,0.204112718964204,,,
95901,95901,33455,-0.0376545323618798,0.0693069306930693,,,
94549,94549,29795,0.0875918499836282,0.972581873571973,,,
94595,94595,18117,0.0147187347617333,0.784463061690785,,,
94506,94506,25240,0.0166559859577993,0.805026656511805,,,
94806,94806,64286,0.0255841390607123,0.863670982482864,,,
94801,94801,31210,0.000673443743715271,0.565118050266565,,,
94803,94803,25893,0.0535806567423621,0.935262757044935,,,
94553,94553,49784,0.0272799054319878,0.86976389946687,,,
94530,94530,26145,0.111360788291755,0.983244478293983,,,
94572,94572,10384,0.000307312422926755,0.559025133282559,,,
95567,95567,1802,-0.0328993913594673,0.0883472962680883,,,
93612,93612,35140,-0.0247277832985142,0.143945163747144,,,
93630,93630,20764,-0.00333803117594507,0.471439451637471,,,
93646,93646,11738,-0.0734903716354304,0.0121858339680122,,,
93703,93703,32754,-0.0839315774573147,0.00761614623000762,,,
93234,93234,7355,-0.0759027631425315,0.0106626047220107,,,
93616,93616,2582,-0.0174022387300595,0.219345011424219,,,
95503,95503,25972,-0.0112319098668886,0.322924600152323,,,
95560,95560,1615,0.0467082303837703,0.921553693830922,,,
95524,95524,1668,0.0252963757965844,0.862147753236862,,,
92243,92243,50402,-0.0294440515250017,0.105864432597106,,,
93527,93527,1559,-0.0415662637944846,0.0571210967250571,,,
93305,93305,37902,-0.0820813942887722,0.00913937547600914,,,
93308,93308,53981,-0.0476210842035237,0.0434120335110434,,,
93311,93311,45481,-0.00192661908370156,0.505712109672506,,,
93245,93245,38480,0.00396990646814678,0.632901751713633,,,
93202,93202,4273,-0.015388037041391,0.251332825590251,,,
95485,95485,2650,0.00465737537816117,0.646610814927647,,,
96130,96130,20119,-0.0257201288149693,0.137852246763138,,,
91504,91504,26749,-0.00317205753720228,0.473724295506474,,,
91606,91606,44295,-0.0166128051100903,0.233054074638233,,,
90640,90640,62730,-0.0097107234946946,0.345773038842346,,,
91770,91770,62703,-0.0207073175101033,0.186595582635187,,,
93535,93535,74264,-0.0198929322480452,0.194973343488195,,,
90290,90290,5681,0.015569813033526,0.795887281035796,,,
91792,91792,29619,0.00164099819614775,0.584158415841584,,,
91789,91789,44440,0.00658907666224373,0.687738004569688,,,
91791,91791,33397,-0.00202273521905839,0.501904036557502,,,
91723,91723,18521,-0.0163627913014072,0.236862147753237,,,
91773,91773,34007,-0.00602495718891415,0.417364813404417,,,
91702,91702,62066,0.0150775164738844,0.789032749428789,,,
91741,91741,26794,0.00944513825328028,0.728865194211729,,,
91765,91765,46593,0.00557439330518623,0.67022086824067,,,
90303,90303,24374,-0.00682905517799962,0.398324447829398,,,
90033,90033,49155,-0.0510584557476331,0.0357958872810358,,,
90032,90032,48031,-0.00181789505772261,0.508758568164509,,,
90249,90249,26429,0.00254496059296471,0.601675552170602,,,
91355,91355,30526,-0.0260453417670158,0.134805788271135,,,
91350,91350,36173,0.00848936151170291,0.712109672505712,,,
91387,91387,42034,0.0031499133827071,0.615384615384615,,,
91001,91001,37818,0.0243803885015307,0.856054836252856,,,
91604,91604,32910,0.00222482553109001,0.596344249809596,,,
91402,91402,72059,-0.00645945061531021,0.408225437928408,,,
91030,91030,25637,0.0274988450992259,0.871287128712871,,,
91108,91108,13375,0.013182576887819,0.766184310738766,,,
90062,90062,35916,-0.020280848401438,0.19040365575019,,,
90293,90293,12728,0.0031421480768667,0.614623000761615,,,
90292,90292,23549,0.0164903625366413,0.801218583396801,,,
90003,90003,73730,-0.0381056483143878,0.0677837014470678,,,
90056,90056,7649,-0.0204811773440377,0.18964204112719,,,
90732,90732,22780,-0.00351404425127974,0.466108149276466,,,
90716,90716,14285,-0.00489109195845966,0.437166793602437,,,
90805,90805,95995,-0.0214076271775643,0.182787509520183,,,
90402,90402,11882,0.0153857386970443,0.792079207920792,,,
90010,90010,3822,-0.0153442638423526,0.252094440213252,,,
