ZIP,Rate,95% LCL,95% UCL,CI_width
91752,9.638,2.603,28.294,25.691
92028,14.958,5.154,35.702,30.548
92059,48.131,1.219,650.448,649.2289999999999
92201,36.682,23.428,56.18,32.751999999999995
92203,30.626,13.368,64.087,50.719
92211,48.757,17.796,116.164,98.368
92220,51.949,27.051,91.609,64.55799999999999
92223,14.715,5.873,32.296,26.423
92225,36.356,15.568,75.722,60.153999999999996
92234,40.0,24.354,62.949,38.595
92236,35.844,20.458,62.388,41.93
92240,85.359,56.092,126.125,70.033
92241,77.062,21.626,235.519,213.893
92253,29.779,12.435,62.51,50.074999999999996
92254,24.733,2.731,207.737,205.006
92260,37.503,17.113,79.012,61.899
92262,59.204,28.096,112.154,84.05799999999999
92264,36.86,13.336,111.153,97.81700000000001
92270,46.574,10.882,270.734,259.852
92274,22.777,4.638,76.078,71.44
92276,93.121,11.863,375.992,364.129
92320,38.885,4.709,142.713,138.004
92324,12.649,4.533,28.71,24.177
92337,12.315,3.888,51.112,47.224000000000004
92373,21.659,7.015,53.508,46.493
92399,27.112,14.147,48.722,34.575
92501,57.195,29.788,104.609,74.821
92503,22.578,13.468,35.999,22.531000000000002
92504,7.998,2.128,21.407,19.279
92505,12.726,5.003,28.797,23.794
92506,24.093,12.096,44.787,32.691
92507,34.348,18.011,60.903,42.891999999999996
92508,9.157,1.857,28.548,26.691
92509,26.599,16.0,42.188,26.188000000000002
92530,58.111,39.023,84.048,45.025
92532,19.099,5.021,117.728,112.707
92536,64.158,1.624,506.718,505.094
92539,97.583,18.968,316.602,297.63399999999996
92543,85.94,55.284,130.026,74.74200000000002
92544,50.257,30.319,79.61,49.291
92545,45.44,23.727,79.575,55.848
92548,18.261,0.462,108.127,107.66499999999999
92549,49.526,1.254,367.167,365.91299999999995
92551,27.625,11.329,58.371,47.042
92553,5.423,1.394,18.065,16.671000000000003
92555,22.155,10.722,47.702,36.98
92557,15.573,7.192,33.131,25.939
92562,20.713,10.487,37.617,27.129999999999995
92563,17.466,8.677,32.096,23.418999999999997
92567,10.12,0.256,84.07,83.814
92570,38.901,23.642,61.312,37.67
92571,22.852,11.072,61.486,50.414
92582,6.465,0.164,89.349,89.185
92583,47.345,24.703,83.433,58.730000000000004
92584,13.641,5.234,30.149,24.915
92585,21.432,6.628,54.755,48.127
92586,63.813,23.834,153.844,130.01
92587,11.491,1.332,55.645,54.313
92591,7.281,1.5,24.917,23.417
92592,15.518,7.677,28.626,20.949
92595,24.893,10.301,52.628,42.327
92596,8.585,1.666,31.962,30.296
92860,27.025,9.934,65.197,55.263000000000005
92879,10.517,3.35,25.833,22.482999999999997
92880,1.386,0.035,14.666,14.631
92881,18.651,5.895,52.793,46.897999999999996
92882,12.274,5.179,24.954,19.775
92883,7.677,1.513,26.014,24.500999999999998
California,20.812,20.34,21.29,0.9499999999999993
Riverside,24.188,22.21,26.308,4.097999999999999
