,,,
ZIP,Age-Adjusted Rate,95% LCL,95% UCL
91752,14.204,4.531,35.657
92028,38.256,21.16,65.397
92059,50.204,1.271,653.569
92201,332.445,286.531,384.457
92203,25.944,10.601,57.552
92210,0,,
92211,34.638,7.299,103.682
92220,504.209,417.113,605.042
92223,81.64,58.055,112.974
92225,39.547,16.772,81.509
92230,126.251,25.191,5374.077
92234,65.253,44.542,93.159
92236,170.655,134.1,217.166
92239,0,,
92240,393.568,325.576,472.739
92241,166.65,61.107,378.684
92253,59.451,34.293,98.715
92254,46.753,9.641,234.486
92260,79.482,45.95,133.474
92262,453.828,364.813,561.081
92264,43.723,13.874,125.542
92270,71.306,26.974,293.51
92274,32.517,6.659,96.535
92276,46.057,8.959,278.215
92282,39.381,0.997,4940.418
92320,121.944,47.801,259.19
92324,97.328,73.495,127.572
92337,22.374,10.145,62.36
92373,231.342,174.307,303.124
92399,215.888,171.869,268.447
92501,279.188,213.366,362.965
92503,86.972,68.668,109.19
92504,84.206,61.523,113.219
92505,50.992,33.038,76.647
92506,104.293,75.335,141.722
92507,103.042,72.432,143.401
92508,53.526,31.637,86.001
92509,65.119,47.69,87.365
92518,1139.998,28.862,6351.664
92530,99.252,74.081,131.023
92532,57.691,29.676,158.033
92536,73.934,1.872,528.535
92539,159.584,43.273,418.636
92543,661.986,568.658,768.045
92544,330.126,276.626,392.126
92545,184.589,137.695,243.078
92548,108.287,45.468,229.171
92549,71.019,8.641,383.296
92551,53.891,30.889,89.978
92553,37.261,23.918,57.667
92555,42.301,26.063,71.38
92557,38.272,22.186,63.572
92561,0,,
92562,101.381,76.213,132.839
92563,72.418,53.037,97.196
92567,11.822,0.299,87.75
92570,70.444,49.476,98.278
92571,54.532,35.884,96.407
92582,155.247,100.949,259.707
92583,136.257,95.711,189.425
92584,46.828,28.686,72.81
92585,40.384,18.322,80.022
92586,110.242,49.62,221.462
92587,89.833,49.15,158.311
92590,45.285,9.265,236.017
92591,25.489,12.909,48.243
92592,74.228,55.218,98.168
92595,106.625,73.35,151.701
92596,17.48,6.618,43.201
92860,94.595,59.6,147.98
92879,64.94,43.341,94.075
92880,17.548,8.994,34.914
92881,57.202,29.724,104.672
92882,48.811,34.234,68.181
92883,13.734,3.725,36.299
California,60.517,59.712,61.33
Riverside,56.112,53.088,59.27
