,ZIP,Count_Person
,91752,37551
,92201,66364
,92203,33381
,92210,4830
,92211,27375
,92220,33428
,92223,62797
,92230,2105
,92234,52047
,92236,42884
,92239,167
,92240,40918
,92241,8624
,92253,38281
,92254,10779
,92258,508
,92260,30751
,92262,26064
,92264,20250
,92270,17375
,92276,7662
,92282,1494
,92320,10680
,92501,22079
,92503,88242
,92504,57085
,92505,53063
,92506,44311
,92507,61920
,92508,36777
,92518,1236
,92532,27268
,92536,2749
,92539,3480
,92543,39878
,92544,51694
,92545,45771
,92548,6435
,92549,3823
,92551,36190
,92553,73189
,92555,45751
,92557,55749
,92561,1891
,92562,65116
,92563,77860
,92567,10697
,92570,57336
,92571,60153
,92582,22732
,92583,33685
,92584,57551
,92585,29500
,92586,19391
,92587,18382
,92590,5108
,92591,41673
,92592,80933
,92595,34505
,92596,36725
,92860,25268
,92879,48756
,92881,29986
,92882,69385
,92883,39071
,California,39200000
