term,estimate,std.error,statistic,p.value,IRR,IRR_low,IRR_high
(Intercept),-7.884092314218333,4.0602442064953504e-15,-1941777861933970.8,0,3.766883710918598e-4,3.766883710918568e-4,3.7668837109186283e-4
ZIP91752,-1.0399250613437212,2.0653499362785332e-14,-50351034615350.375,0,0.35348117037019217,0.3534811703701779,0.35348117037020643
ZIP92201,2.1793449959728424,5.179055414374445e-15,420799706047570,0,8.840513789748298,8.840513789748208,8.840513789748389
ZIP92203,-0.33442526327125477,5.802173771941292e-15,-57637926131840.53,0,0.7157493355929583,0.7157493355929501,0.7157493355929664
ZIP92210,-23.901094525279877,1,-23.901094525279877,2.9835189022884753e-126,4.167604864003522e-11,5.8704224016640205e-12,2.9587190007898657e-10
ZIP92211,-0.1360685755642478,4.7005596014309314e-15,-28947314171450.18,0,0.8727827788649684,0.8727827788649603,0.8727827788649763
ZIP92220,2.596841878020086,7.430016445482806e-15,349506881589592.75,0,13.421284979230439,13.421284979230242,13.421284979230636
ZIP92223,0.7682553663280606,4.2926271546302745e-15,178970904915274.6,0,2.1560015378350523,2.156001537835034,2.1560015378350705
ZIP92230,1.3306338567699667,6.937410931586969e-15,191805540985241.5,0,3.7834407872412674,3.7834407872412164,3.783440787241319
ZIP92234,0.550550403340062,6.1338226036151975e-15,89756492634067.14,0,1.7342072687049357,1.734207268704915,1.7342072687049566
ZIP92236,1.5082976803905952,4.348670402140538e-15,346841112549750.5,0,4.519031406984943,4.5190314069849045,4.519031406984981
ZIP92239,-20.536486590745252,1.0000000000000002,-20.53648659074525,1.0165567865787385e-93,1.2053611676210613e-9,1.697852707106496e-10,8.557253160581009e-9
ZIP92240,2.346171336187028,5.498069006355661e-15,426726425855132,0,10.44550075761278,10.445500757612669,10.44550075761289
ZIP92241,1.4608453506848118,4.109508860169e-15,355479304313931,0,4.3096011131725165,4.309601113172482,4.309601113172551
ZIP92253,0.466877561619816,4.1646766620297e-15,112104155858351.36,0,1.595006101497568,1.5950061014975552,1.5950061014975812
ZIP92254,0.20817515087081204,8.33838055410143e-15,24965897097178.68,0,1.2314288364942447,1.2314288364942245,1.231428836494265
ZIP92260,0.7284683515351869,4.321673674170714e-15,168561628308267.1,0,2.0719047464193894,2.071904746419372,2.071904746419407
ZIP92262,2.4864666078421735,5.054734898492975e-15,491908410188532.7,0,12.018734105060044,12.018734105059927,12.018734105060162
ZIP92264,0.16540681901987042,5.8021737767681926e-15,28507732684973.445,0,1.1798730158730144,1.179873015873001,1.179873015873028
